Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
CDS library_source,The Library Source specifies the type of source material that is being sequenced,"GENOMIC, GENOMIC SINGLE CELL, METAGENOMIC, METATRANSCRIPTOMIC, OTHER, SYNTHETIC, TRANSCRIPTOMIC, TRANSCRIPTOMIC SINGLE CELL, VIRAL RNA",,,TRUE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS library_selection,Library Selection Method,"5-methylcytidine antibody, CAGE, cDNA, cDNA_oligo_dT, cDNA_randomPriming, CF-H, CF-M, CF-S, CF-T, ChIP, DNAse, HMPR, Hybrid Selection, Inverse rRNA, MBD2 protein methyl-CpG binding domain, MDA, MF, MNase, MSLL, Oligo-dT, other, Padlock probes capture method, PCR, PolyA, RACE, RANDOM, RANDOM PCR, Reduced Representation, repeat fractionation, Restriction Digest, RT-PCR, size fractionation, unspecified",,,TRUE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS library_layout,Paired-end or Single,"Paired-end, Single-end",,,TRUE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS platform,Sequencing Platform used for Sequencing,"LS454, ABI_SOLID, BGISEQ, CAPILLARY, COMPLETE_GENOMICS, HELICOS, ILLUMINA, ION_TORRENT, OXFORD_NANOPORE, PACBIO_SMRT",,,TRUE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS instrument_model,Instrument model used for sequencing,"454 GS, 454 GS 20, 454 GS FLX, 454 GS FLX+, 454 GS FLX Titanium, 454 GS Junior, HiSeq X Five, HiSeq X Ten, Illumina Genome Analyzer, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiScanSQ, Illumina HiSeq 1000, Illumina HiSeq 1500, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 3000, Illumina HiSeq 4000, Illumina iSeq 100, Illumina NovaSeq 6000, Illumina MiniSeq, Illumina MiSeq, NextSeq 500, NextSeq 550, Helicos HeliScope, AB 5500 Genetic Analyzer, AB 5500xl Genetic Analyzer, AB 5500x-Wl Genetic Analyzer, AB SOLiD 3 Plus System, AB SOLiD 4 System, AB SOLiD 4hq System, AB SOLiD PI System, AB SOLiD System, AB SOLiD System 2.0, AB SOLiD System 3.0, Complete Genomics, PacBio RS, PacBio RS II, PacBio Sequel, PacBio Sequel II, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5 XL, Ion Torrent S5, AB 310 Genetic Analyzer, AB 3130 Genetic Analyzer, AB 3130xL Genetic Analyzer, AB 3500 Genetic Analyzer, AB 3500xL Genetic Analyzer, AB 3730 Genetic Analyzer, AB 3730xL Genetic Analyzer, GridION, MinION, PromethION, BGISEQ-500, DNBSEQ-G400, DNBSEQ-T7, DNBSEQ-G50, MGISEQ-2000RS",,,TRUE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS design_description,Free-form description of the methods used to create the sequencing library; a brief 'materials and methods' section.,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS reference_genome_assembly,This is only if you are submitting a bam file aligned against a NCBI assembly.,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS custom_assembly_fasta_file_for_alignment,Please provide the name of the custom assembly fasta file used during alignment,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
CDS bases,Count of unique basecalls present in the data. Please count each base only once if using secondary alignments.,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,int
CDS number_of_reads,Count of the number of reads in the data. Please count each read only once if using secondary alignments.,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,int
CDS coverage,Depth of coverage on assembly used. Found by (Unique Aligned Basecalls)/(Reference Length),,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,int
CDS avg_read_length,Found by (Bases)/(Reads),,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,int
CDS sequence_alignment_software,The name of the software program used to align nucleotide sequencing data.,,,,FALSE,Sequencing,,https://dataservice.datacommons.cancer.gov/#/resources,str
Checksum,MD5 checksum of the BAM file,,,,TRUE,Information Content Entity,,,
HTAN Data File ID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),,,,TRUE,File,,https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,regex match ^(HTA([1-9]|1[0-6]))_((EXT)?([0-9]\d*|0000))_([0-9]\d*|0000)$ warning
HTAN Participant ID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),,,,TRUE,Patient,,https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,regex match ^(HTA([1-9]|1[0-6]))_((EXT)?([0-9]\d*|0000))$ warning
HTAN Biospecimen ID,HTAN ID associated with a biosample based on HTAN ID SOP (eg HTANx_yyy_zzz),,,,TRUE,Biospecimen,,https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,regex match ^(HTA([1-9]|1[0-6]))_((EXT)?([0-9]\d*|0000))_([0-9]\d*|0000)$ warning
HTAN Parent ID,HTAN ID of parent from which the biospecimen was obtained. Parent could be another biospecimen or a research participant.,,,,TRUE,Biospecimen,,https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,
HTAN Parent Biospecimen ID,HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated,,,,TRUE,Biospecimen,,https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,
HTAN Parent Data File ID,HTAN Data File Identifier indicating the file(s) from which these files were derived,,,,TRUE,File,,,
Clinical Data Tier 2,Tier 2 Cancer Data,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index, Sentinel Lymph Node Count, Sentinel Node Positive Assessment Count, Tumor Extranodal Extension Indicator, Satellite Metastasis Present Indicator, Other Biopsy Resection Site, Extent of Tumor Resection, Prior Sites of Radiation, Immunosuppression, Concomitant Medication Received Type, Family Member Vital Status Indicator, COVID19 Occurrence Indicator, COVID19 Current Status, COVID19 Positive Lab Test Indicator, COVID19 Antibody Testing, COVID19 Complications Severity, COVID19 Cancer Treatment Followup, Ecig vape use, Ecig vape 30 day use num, Ecig vape times per day, Type of smoke exposure cumulative years, Chewing tobacco daily use count, Second hand smoke exposure years, Known Genetic Predisposition Mutation, Hereditary Cancer Predisposition Syndrome, Cancer Associated Gene Mutations, Mutational Signatures, Mismatch Repair System Status, Lab Tests for MMR Status, Mode of Cancer Detection, Education Level, Country of Birth, Medically Underserved Area, Rural vs Urban, Cancer Incidence, Cancer Incidence Location",,FALSE,Patient,,,
SRRS Clinical Data Tier 2,Cancer related clinical data specific to SRRS,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index, Education Level, Country of Birth, Medically Underserved Area, Rural vs Urban, Cancer Incidence, Cancer Incidence Location, Ethnicity, Gender, Race, Vital Status, Age at Diagnosis, Days to Last Follow up, Days to Last Known Disease Status, Days to Recurrence, Last Known Disease Status, Morphology, Primary Diagnosis, Progression or Recurrence, Site of Resection or Biopsy, Tissue or Organ of Origin, NCI Atlas Cancer Site, Tumor Grade, Pack Years Smoked, Years Smoked, Days to Follow Up, Gene Symbol, Molecular Analysis Method, Test Result, Treatment Type, Tumor Largest Dimension Diameter",,FALSE,Patient,,,
Lung Cancer Tier 3,Lung cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index, Lung Cancer Detection Method Type, Lung Cancer Participant Procedure History, Lung Adjacent Histology Type, Lung Tumor Location Anatomic Site, Lung Tumor Lobe Bronchial Location, Current Lung Cancer Symptoms, Lung Topography, Lung Cancer Harboring Genomic Aberrations",,FALSE,Patient,,,
Colorectal Cancer Tier 3,Colorectal cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Colorectal Cancer Detection Method Type, History of Prior Colon Polyps, Family Colon Cancer History Indicator, Family Medical History Colorectal Polyp Diagnosis, Immediate Family History Endometrial Cancer, Immediate Family History Ovarian Cancer, Patient Inflammatory Bowel Disease Personal Medica History, Patient Colonoscopy Performed Indicator, Colorectal Cancer Tumor Border Configuration, MLH1 Promoter Methylation Status, Colorectal Cancer KRAS Indicator, Colon Polyp Occurence Indicator, Family History Colorectal Polyp, Colorectal Polyp New Indicator, Colorectal Polyp Shape, Size of Polyp Removed, Colorectal Polyp Count, Colorectal Polyp Type, Colorectal Polyp Adenoma Type",,FALSE,Patient,,,
Breast Cancer Tier 3,Breast cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Breast Carcinoma Detection Method Type, Breast Carcinoma Histology Category, Invasive Lobular Breast Carcinoma Histologic Category, Invasive Ductal Breast Carcinoma Histologic Category, Breast Biopsy Procedure Finding Type, Breast Quadrant Site, Breast Cancer Assessment Tests, Breast Cancer Genomic Test Performed, Mammaprint Risk Group, Oncotype Risk Group, Breast Carcinoma Estrogen Receptor Status, Breast Carcinoma Progesteroner Receptor Status, Breast Cancer Allred Estrogen Receptor Score, Prior Invasive Breast Disease, Breast Carcinoma ER Status Percentage Value, Breast Carcinoma PR Status Percentage Value, HER2 Breast Carcinoma Copy Number Total, Breast Carcinoma Centromere 17 Copy Number, Breast Carcinoma HER2 Centromere17 Copynumber Total, Breast Carcinoma HER2 Chromosome17 Ratio, Breast Carcinoma Surgical Procedure Name, Breast Carcinoma HER2 Ratio Diagnosis, Breast Carcinoma HER2 Status, Hormone Therapy Breast Cancer Prevention Indicator, Breast Carcinoma ER Staining Intensity, Breast Carcinoma PR Staining Intensity, Oncotype Score, Breast Imaging Performed Type, Multifocal Breast Carcinoma Present Indicator, Multicentric Breast Carcinoma Present Indicator, BIRADS Mammography Breast Density Category",,FALSE,Patient,,,
Neuroblastoma and Glioma Tier 3,Brain cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,CNS Tumor Primary Anatomic Site, Glioma Specific Metastasis Sites, Glioma Specific Radiation Field, Supra Tentorial Ependymoma Molecular Subgroup, Infra Tentorial Ependymoma Molecular Subgroup, Neuroblastoma MYCN Gene Amplification Status",,FALSE,Patient,,,
Acute Lymphoblastic Leukemia Tier 3,Acute Lymphoblastic Leukemia attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Specimen Blast Count Percentage Value, NCI ALL Risk Group, MRD ALL Diagnostic Sensitivity, CNS Leukemia Status",,FALSE,Patient,,,
Ovarian Cancer Tier 3,Ovarian cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Ovarian Cancer Histologic Subtype, Ovarian Cancer Surgical Outcome, Ovarian Cancer Platinum Status",,FALSE,Patient,,,
Prostate Cancer Tier 3,Prostate cancer specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Location Extent Extraprostatic Extension, Location Nature Positive Margins, Seminal Vesicle Invasion, Prostate Carcinoma Histologic Type, Prostate Cancer Local Extent, Additonal Findings Uninvolved Prostate, Prostate Cancer Cytologic Morphologic Subtypes",,FALSE,Patient,,,
Sarcoma Tier 3,Sarcoma specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Sarcoma Subtype, Sarcoma Diagnosis Classification Category, Sarcoma Tumor Extension Type",,FALSE,Patient,,,
Pancreatic Cancer Tier 3,Pancreatic cancer specific attributes in Clinical Tier Data 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index,Pancreas Precancer Histopathologic Grade, Pancreatic IPMN Pathology Epithelial Subtype, Pancreatic Duct Final Pathology Type",,FALSE,Patient,,,
Melanoma Tier 3,Melanoma specific attributes in Clinical Data Tier 3,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index, Cutaneous Melanoma Tumor Infiltrating Lymphocytes, Cutaneous Melanoma Tumor Regression Range, Melanoma Specimen Clark Level Value, Cutaneous Melanoma Surgical Margins, Melanoma Lesion Size, History of Atypical Nevi, Fitzpatrick Skin Tone, History of Chronic UV Exposure, History of Blistering Sunburn, History of Tanning Bed Use, Immediate Family History Melanoma, Melanoma Biopsy Resection Sites, Cutaneous Melanoma Ulceration, Cutaneous Melanoma Additional Findings",,FALSE,Patient,,,
Demographics,Demographic attributes,,"Component, HTAN Participant ID, Ethnicity, Gender, Race, Vital Status, Days to Birth, Country of Residence, Age Is Obfuscated, Year Of Birth, Occupation Duration Years, Premature At Birth, Weeks Gestation at Birth",,FALSE,Patient,,,
Family History,Family cancer history,,"Component, HTAN Participant ID, Relative with Cancer History",,FALSE,Patient,,,
Exposure,Exposure to carcinogens,,"Component, HTAN Participant ID, Start Days from Index, Smoking Exposure, Alcohol Exposure, Asbestos Exposure, Coal Dust Exposure, Environmental Tobacco Smoke Exposure, Radon Exposure, Respirable Crystalline Silica Exposure",,FALSE,Patient,,,
Follow Up,Follow up clinical visits,,"Component, HTAN Participant ID, Days to Follow Up, Adverse Event, Progression or Recurrence, Barretts Esophagus Goblet Cells Present, BMI, Cause of Response, Comorbidity, Comorbidity Method of Diagnosis, Days to Adverse Event, Days to Comorbidity, Diabetes Treatment Type, Disease Response, DLCO Ref Predictive Percent, ECOG Performance Status, FEV1 FVC Post Bronch Percent, FEV 1 FVC Pre Bronch Percent, FEV1 Ref Post Bronch Percent, FEV1 Ref Pre Bronch Percent, Height, Hepatitis Sustained Virological Response, HPV Positive Type, Karnofsky Performance Status, Menopause Status, Pancreatitis Onset Year,  Reflux Treatment Type, Risk Factor, Risk Factor Treatment, Viral Hepatitis Serologies, Weight, Adverse Event Grade, AIDS Risk Factors, Body Surface Area, CD4 Count, CDC HIV Risk Factors, Days to Imaging, Evidence of Recurrence Type, HAART Treatment Indicator, HIV Viral Load, Hormonal Contraceptive Use, Hysterectomy Margins Involved, Hysterectomy Type, Imaging Result, Imaging Type, Immunosuppressive Treatment Type, Nadir CD4 Count, Pregnancy Outcome, Recist Targeted Regions Number, Recist Targeted Regions Sum, Scan Tracer Used",,FALSE,Patient,,,
Therapy,Clinical therapy or treatment,,"Component, HTAN Participant ID, Treatment or Therapy, Treatment Type, Treatment Effect, Treatment Outcome, Days to Treatment End, Treatment Anatomic Site, Days to Treatment Start, Initial Disease Status, Regimen or Line of Therapy, Therapeutic Agents, Treatment Intent Type, Chemo Concurrent to Radiation, Number of Cycles, Reason Treatment Ended, Treatment Arm, Treatment Dose, Treatment Dose Units, Treatment Effect Indicator, Treatment Frequency",,FALSE,Patient,,,
Diagnosis,Disease diagnosis,,"Component, HTAN Participant ID, Age at Diagnosis, Year of Diagnosis, Primary Diagnosis, Precancerous Condition Type, Site of Resection or Biopsy, Tissue or Organ of Origin, Morphology, Tumor Grade, Progression or Recurrence, Last Known Disease Status, Days to Last Follow up, Days to Last Known Disease Status,  Method of Diagnosis, Prior Malignancy, Prior Treatment, Metastasis at Diagnosis, Metastasis at Diagnosis Site, First Symptom Prior to Diagnosis, Days to Diagnosis, Percent Tumor Invasion, Residual Disease, Synchronous Malignancy, Tumor Confined to Organ of Origin, Tumor Focality, Tumor Largest Dimension Diameter, Gross Tumor Weight, Breslow Thickness, Vascular Invasion Present, Vascular Invasion Type, Anaplasia Present, Anaplasia Present Type, Laterality, Perineural Invasion Present, Lymphatic Invasion Present, Lymph Nodes Positive, Lymph Nodes Tested, Peritoneal Fluid Cytological Status, Classification of Tumor, Best Overall Response, Mitotic Count, AJCC Clinical M, AJCC Clinical N, AJCC Clinical Stage, AJCC Clinical T, AJCC Pathologic M, AJCC Pathologic N, AJCC Pathologic Stage, AJCC Pathologic T, AJCC Staging System Edition, Cog Neuroblastoma Risk Group, Cog Rhabdomyosarcoma Risk Group, Gleason Grade Group, Gleason Grade Tertiary, Gleason Patterns Percent, Greatest Tumor Dimension, IGCCCG Stage, INPC Grade, INPC Histologic Group, INRG Stage, INSS Stage, International Prognostic Index, IRS Group, IRS Stage, ISS Stage, Lymph Node Involved Site, Margin Distance, Margins Involved Site, Medulloblastoma Molecular Classification, Micropapillary Features, Mitosis Karyorrhexis Index, Non Nodal Regional Disease, Non Nodal Tumor Deposits, Ovarian Specimen Status, Ovarian Surface Involvement, Pregnant at Diagnosis, Primary Gleason Grade, Secondary Gleason Grade, Supratentorial Localization, Tumor Depth, WHO CNS Grade, WHO NTE Grade",,FALSE,Patient,,,
Molecular Test,Clinical molecular test data,,"Component, HTAN Participant ID, Timepoint Label, Start Days from Index, Stop Days from Index, Gene Symbol, Molecular Analysis Method, Test Result, AA Change, Antigen, Clinical Biospecimen Type, Blood Test Normal Range Upper, Blood Test Normal Range Lower, Cell Count, Chromosome, Clonality, Copy Number, Cytoband, Exon, Histone Family, Histone Variant, Intron, Laboratory Test, Loci Abnormal Count, Loci Count, Locus, Mismatch Repair Mutation, Molecular Consequence, Pathogenicity, Ploidy, Second Exon, Second Gene Symbol, Specialized Molecular Test, Test Analyte Type, Test Units, Test Value, Transcript, Variant Origin, Variant Type, Zygosity",,FALSE,Patient,,,
Biospecimen,"HTAN biological entity; this can be tissue, blood, analyte and subsamples of those",,"Component, HTAN Biospecimen ID, Source HTAN Biospecimen ID, HTAN Parent ID, Timepoint Label, Collection Days from Index, Adjacent Biospecimen IDs, Biospecimen Type, Acquisition Method Type, Fixative Type, Storage Method, Processing Days from Index, Protocol Link,  Site Data Source, Collection Media, Mounting Medium, Processing Location, Histology Assessment By, Histology Assessment Medium, Preinvasive Morphology, Tumor Infiltrating Lymphocytes, Degree of Dysplasia, Dysplasia Fraction, Number Proliferating Cells, Percent Eosinophil Infiltration, Percent Granulocyte Infiltration, Percent Inflam Infiltration, Percent Lymphocyte Infiltration, Percent Monocyte Infiltration, Percent Necrosis, Percent Neutrophil Infiltration, Percent Normal Cells, Percent Stromal Cells, Percent Tumor Cells, Percent Tumor Nuclei, Fiducial Marker, Slicing Method,  Lysis Buffer, Method of Nucleic Acid Isolation",,FALSE,Biosample,Patient,,
SRRS Biospecimen,"SRRS-specific HTAN biological entity; this can be tissue, blood, analyte and subsamples of those, however it can be described via fewer attributes than a standard HTAN specimen",,"Component, HTAN Biospecimen ID, Source HTAN Biospecimen ID, HTAN Parent ID, Adjacent Biospecimen IDs, Biospecimen Type, Timepoint Label, Collection Days from Index, Acquisition Method Type, Ischemic Time, Ischemic Temperature, Collection Media, Topography Code, Additional Topography, Fixative Type, Storage Method, Preinvasive Morphology, Histologic Morphology Code, Preservation Method, Processing Days from Index, Protocol Link",,FALSE,Biosample,Patient,,
Source HTAN Biospecimen ID,This is the HTAN ID that may have been assigned to the biospecimen at the site of biospecimen origin (e.g. BU).,,,,FALSE,Biosample,,,
Other Assay,Metadata applying to any assay without standard descriptors. Can be used as a placeholder for minimal amount of metadata until the assay descriptors are standardized,,"Component, Filename, File Format, HTAN Parent Biospecimen ID, HTAN Data File ID, Assay Type",,FALSE,Assay,Biospecimen,,
ExSeq Minimal,Minimal metadata for the ExSeq assay,,"Component, Filename, File Format, HTAN Parent Biospecimen ID, HTAN Data File ID, Assay Type",,FALSE,Assay,Biospecimen,,
Assay Type,"The type and level of assay this metadata applies to (e.g. RPPA, NanoString DSP, etc.)",,,,TRUE,Assay,,,
scRNA-seq Level 1,Single-cell RNA-seq [EFO_0008913],,"Component, Filename, File Format, HTAN Parent Biospecimen ID, HTAN Data File ID, Nucleic Acid Source, Cryopreserved Cells in Sample, Single Cell Isolation Method, Dissociation Method, Library Construction Method, Read Indicator, Read1, Read2, End Bias, Reverse Transcription Primer, Spike In, Sequencing Platform, Total Number of Input Cells, Input Cells and Nuclei, Library Preparation Days from Index, Single Cell Dissociation Days from Index, Sequencing Library Construction Days from Index, Nucleic Acid Capture Days from Index, Protocol Link, Technical Replicate Group",,FALSE,Sequencing,Biospecimen,http://www.ebi.ac.uk/efo/EFO_0008913,
scRNA-seq Level 2,Alignment workflows downstream of scRNA-seq Level 1,,"Component, Filename, File Format, HTAN Parent Data File ID, HTAN Data File ID, scRNAseq Workflow Type, Workflow Version, scRNAseq Workflow Parameters Description, Workflow Link, Genomic Reference, Genomic Reference URL, Genome Annotation URL, Checksum, Whitelist Cell Barcode File Link, Cell Barcode Tag, UMI Tag, Applied Hard Trimming",,FALSE,Sequencing,scRNA-seq Level 1,,
scRNA-seq Level 3,Gene and Isoform expression files,,"Component, Filename, File Format, HTAN Parent Data File ID, HTAN Data File ID, Data Category, Matrix Type, Linked Matrices, Cell Median Number Reads, Cell Median Number Genes, Cell Total, scRNAseq Workflow Type, scRNAseq Workflow Parameters Description, Workflow Link, Workflow Version",,FALSE,Sequencing,scRNA-seq Level 2,,
scRNA-seq Level 4,"Data represents the relationships between cells derived from Level 3 expression data and shown as tSNE or UMAP coordinates per cell, plus all other cell-specific meta information (e.g., cell type)",,"Component, Filename, File Format, HTAN Parent Data File ID, HTAN Data File ID, scRNAseq Workflow Type, scRNAseq Workflow Parameters Description, Workflow Version, Workflow Link",,FALSE,Sequencing,scRNA-seq Level 3,,
Slide-seq Level 1,Raw sequencing files for the Slide-seq assay.,,"Component, Filename, File Format, HTAN Parent Biospecimen ID, HTAN Data File ID, Nucleic Acid Source, Read Indicator, Spatial Read1, Spatial Read2, End Bias, Reverse Transcription Primer, Spatial Barcode Offset, Spatial Barcode and UMI, Spike In, Sequencing Platform, Technical Replicate Group, Protocol Link, Spatial Library Construction Method, Library Preparation Days from Index, Sequencing Library Construction Days from Index, Nucleic Acid Capture Days from Index",,FALSE,Spatial Transcriptomics,Biospecimen,,
Slide-seq Level 2,Aligned sequencing files and QC for the Slide-seq assay.,,"Component, Filename, File Format, HTAN Parent Data File ID, HTAN Data File ID, Slide-seq Workflow Type, Workflow Version, Slide-seq Workflow Parameter Description, Workflow Link, Genomic Reference, Genomic Reference URL, Genome Annotation URL, Checksum, Spatial Barcode Tag, Matched Spatial Barcode Tag, UMI Tag, Applied Hard Trimming",,FALSE,Spatial Transcriptomics,Slide-seq Level 1,,
Slide-seq Level 3,Gene matrices with features and barcodes for Slide-seq as well as spatial information (bead location files).,,"Component, Filename, File Format, HTAN Parent Data File ID, HTAN Data File ID, Run ID, Sequencing Batch ID, Data Category, Matrix Type, Slide-seq Workflow Type, Workflow Version, Slide-seq Workflow Parameter Description, Workflow Link, Beads Total, Median UMI Counts per Spot, Median Number Genes per Spatial Spot, Slide-seq Bead File Type, Slide-seq Fragment Size",,FALSE,Spatial Transcriptomics,Slide-seq Level 2,,
Slide-seq Fragment Size,Average cDNA length associated with the experiemtn. Integer,,,,FALSE,Spatial Transcriptomics,,,
Matched Spatial Barcode Tag,SAM tag for matched spot barcode field; please provide a valid spot barcode tag (e.g. CB:Z) (Slide-seq specific),,,,TRUE,Spatial Transcriptomics,,,
Beads Total,Number of sequenced beads. Applies to raw counts matrix only. Integer,,,,FALSE,Spatial Transcriptomics,,,
Slide-seq Workflow Type,Generic name for the workflow used to analyze the Slide-seq data set. String,,,,TRUE,Spatial Transcriptomics,,,
Slide-seq Workflow Parameter Description,Parameters used to run the Slide-seq workflow. String,,,,TRUE,Spatial Transcriptomics,,,
Slide-seq Bead File Type,The type of Level 3 file submitted as part of the Slide-seq workflow.,"Matrix Features, Matrix Barcodes, All Bead Locations, All Bead Barcodes, Matched Bead Barcodes, Matched Bead Locations, Not Applicable",,,TRUE,Spatial Transcriptomics,,,
